month_date,open,high,low,close,volume,open_aapl,high_aapl,low_aapl,close_aapl,volume_aapl,open_amazon,high_amazon,low_amazon,close_amazon,volume_amazon,open_msft,high_msft,low_msft,close_msft,volume_msft
2018-09-01,7986.83,8020.97,7945.9,7983.31,2344515263.16,55.58,56.13,55.02,55.52,142941473.68,1969.24,1987.2,1943.61,1966.08,4970815.79,112.08,112.95,111.21,112.24,25276605.26
2018-10-01,7565.36,7624.38,7458.84,7527.08,2669606956.52,55.3,55.99,54.47,55.21,137347565.22,1799.63,1823.2,1753.27,1782.06,7966121.74,109.79,111.03,107.74,109.21,40328173.91
2018-11-01,7227.93,7293.46,7164.94,7236.08,2312411904.76,47.95,48.49,47.18,47.81,183109790.48,1622.32,1653.72,1593.1,1625.48,6632857.14,107.25,108.47,105.86,107.3,34296600.0
2018-12-01,6858.92,6926.2,6736.2,6814.29,2568860000.0,41.31,41.83,40.47,41.07,189246842.11,1572.92,1601.89,1527.99,1559.44,8148036.84,105.02,106.54,102.57,104.39,49700768.42
2019-01-01,6948.26,7011.65,6909.57,6979.66,2342811428.57,38.4,38.88,37.99,38.54,157730933.33,1632.35,1657.3,1612.7,1640.03,6381033.33,103.95,104.98,102.85,104.14,34010133.33
2019-02-01,7415.22,7452.37,7391.03,7430.08,2226554736.84,42.85,43.22,42.63,42.93,99482231.58,1626.13,1640.1,1612.2,1626.94,4259836.84,107.51,108.45,106.9,107.93,24689257.89
2019-03-01,7629.43,7668.02,7582.62,7629.37,2340263809.52,45.81,46.23,45.35,45.82,123996457.14,1719.85,1737.25,1705.42,1722.49,4801533.33,115.01,115.91,114.09,115.13,28052180.95
2019-04-01,7986.21,8012.71,7955.1,7994.92,2055371428.57,49.97,50.39,49.66,50.13,96403371.43,1863.63,1874.41,1850.94,1866.2,3868533.33,122.61,123.24,121.93,122.79,20626557.14
2019-05-01,7797.43,7855.02,7752.32,7804.82,2154777272.73,47.73,48.34,47.3,47.82,134446654.55,1871.65,1886.18,1852.76,1869.38,4464290.91,126.19,127.4,125.25,126.35,24873581.82
2019-06-01,7827.18,7865.87,7783.81,7825.46,2225270500.0,48.17,48.7,47.81,48.24,103043740.0,1853.17,1868.87,1835.98,1852.62,3737325.0,132.04,133.11,130.85,131.99,25416215.0
2019-07-01,8203.72,8235.27,8164.48,8205.6,1783561818.18,51.26,51.68,50.98,51.3,86154854.55,1964.91,1977.38,1948.63,1965.88,3324945.45,138.31,139.03,137.13,138.1,22003631.82
2019-08-01,7922.24,7972.11,7847.3,7910.93,2095025909.09,51.32,51.9,50.71,51.24,123833018.18,1799.37,1810.57,1778.23,1793.6,3625963.64,136.5,137.61,134.9,136.38,26567363.64
2019-09-01,8093.1,8126.59,8042.16,8087.7,2073132500.0,54.43,54.87,53.98,54.5,108513420.0,1801.72,1812.32,1784.69,1799.12,3058645.0,138.36,139.09,136.99,138.12,23627240.0
2019-10-01,8077.65,8116.24,8037.46,8079.28,1912015652.17,58.73,59.24,58.24,58.82,105791773.91,1749.14,1763.67,1736.6,1752.33,3059152.17,139.53,140.39,138.29,139.23,23892321.74
